Bin name,Completeness (from MaxBin),Genome size,GC content
maxbin2_unbinned_contigs.357.fasta,18.70%,2701053,66.9
maxbin2_unbinned_contigs.016.fasta,17.80%,220022,66.2
maxbin2_unbinned_contigs.064.fasta,17.80%,1054588,60.4
maxbin2_unbinned_contigs.245.fasta,17.80%,1351617,66.1
maxbin2_unbinned_contigs.416.fasta,17.80%,1453492,60.3
maxbin2_unbinned_contigs.024.fasta,16.80%,437137,67.4
maxbin2_unbinned_contigs.117.fasta,16.80%,450204,66.6
maxbin2_unbinned_contigs.123.fasta,16.80%,205775,63.7
maxbin2_unbinned_contigs.189.fasta,16.80%,3824131,69.5
maxbin2_unbinned_contigs.047.fasta,15.90%,152572,66.6
maxbin2_unbinned_contigs.070.fasta,15.90%,492210,67.1
maxbin2_unbinned_contigs.134.fasta,15.90%,545438,62.9
maxbin2_unbinned_contigs.201.fasta,15.90%,200657,64.6
maxbin2_unbinned_contigs.363.fasta,15.90%,1908136,58.2
maxbin2_unbinned_contigs.373.fasta,15.90%,1553157,62.4
maxbin2_unbinned_contigs.474.fasta,15.90%,1290093,38.3
maxbin2_unbinned_contigs.306.fasta,15%,1990489,68.9
maxbin2_unbinned_contigs.471.fasta,15%,621474,45.7
maxbin2_unbinned_contigs.120.fasta,14%,227951,65.4
maxbin2_unbinned_contigs.219.fasta,14%,819880,65.6
maxbin2_unbinned_contigs.244.fasta,14%,1739977,69.8
maxbin2_unbinned_contigs.293.fasta,14%,3771924,70.2
maxbin2_unbinned_contigs.388.fasta,14%,1428570,55.9
maxbin2_unbinned_contigs.005.fasta,13.10%,1713052,65.9
maxbin2_unbinned_contigs.008.fasta,13.10%,2068622,56.5
maxbin2_unbinned_contigs.034.fasta,13.10%,1736511,73.6
maxbin2_unbinned_contigs.057.fasta,13.10%,508580,67.3
maxbin2_unbinned_contigs.191.fasta,13.10%,1039805,63.1
maxbin2_unbinned_contigs.421.fasta,13.10%,1018874,49.1
maxbin2_unbinned_contigs.159.fasta,12.10%,5960527,75.9
maxbin2_unbinned_contigs.164.fasta,12.10%,694644,61.1
maxbin2_unbinned_contigs.236.fasta,12.10%,1714949,69.1
maxbin2_unbinned_contigs.436.fasta,11.20%,3826938,46.6
maxbin2_unbinned_contigs.458.fasta,11.20%,952707,49.3
maxbin2_unbinned_contigs.257.fasta,10.30%,451201,63.6
maxbin2_unbinned_contigs.022.fasta,9.30%,2408561,61
maxbin2_unbinned_contigs.327.fasta,9.30%,5811373,65.6
maxbin2_unbinned_contigs.476.fasta,9.30%,4758828,31.4
maxbin2_unbinned_contigs.018.fasta,8.40%,250385,30.6
maxbin2_unbinned_contigs.004.fasta,7.50%,241770,34.2
maxbin2_unbinned_contigs.302.fasta,7.50%,2448138,72
maxbin2_unbinned_contigs.433.fasta,6.50%,3336198,24.9
maxbin2_unbinned_contigs.015.fasta,5.60%,446462,58.8
maxbin2_unbinned_contigs.403.fasta,5.60%,703642,54.4
maxbin2_unbinned_contigs.440.fasta,4.70%,2230724,44.8
maxbin2_unbinned_contigs.200.fasta,3.70%,110113,63.6
maxbin2_unbinned_contigs.001.fasta,2.80%,119101,64.7
maxbin2_unbinned_contigs.249.fasta,2.80%,1174008,59.4
maxbin2_unbinned_contigs.480.fasta,2.80%,1205009,31.8
maxbin2_unbinned_contigs.460.fasta,1.90%,202419,34.6
maxbin2_unbinned_contigs.261.fasta,0.90%,122714,36.5
maxbin2_unbinned_contigs.410.fasta,0.90%,3552472,62.7
maxbin2_unbinned_contigs.045.fasta,0%,1662464,24.9
maxbin2_unbinned_contigs.058.fasta,0%,726603,31
maxbin2_unbinned_contigs.122.fasta,0%,524266,47.4
maxbin2_unbinned_contigs.444.fasta,0%,660206,43.9
maxbin2_unbinned_contigs.475.fasta,0%,124625,41.7
